Date,Type,Link
2020-12-08 07:29:22,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6740167632567193600
2020-12-07 16:08:09,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6741563277962203136
2020-12-05 17:43:31,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6739817734340714496
2020-12-05 16:54:07,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6740881546040918018
2020-12-05 05:57:11,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6740286677266292736
2020-12-05 04:28:17,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6740504826989355009
2020-12-05 04:25:28,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6737615106835841024
2020-12-05 04:25:15,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6740696814275620864
2020-12-05 03:56:05,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6740688201301815296
2020-12-04 16:27:02,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AgroupPost%3A2258445-6707655765450137600
2020-12-04 16:26:12,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6740247311768698880
2020-12-04 16:21:58,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6740640840890245120?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A6740640840890245120%2C6740641736781107200%29
2020-12-04 16:21:57,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6740640840890245120?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A6740640840890245120%2C6740641903383060481%29
2020-12-04 16:21:56,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6740640840890245120?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A6740640840890245120%2C6740642204978704384%29
2020-12-04 16:21:54,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6740640840890245120?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A6740640840890245120%2C6740642120647933952%29
2020-12-04 16:21:53,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6740640840890245120?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A6740640840890245120%2C6740643470140166144%29
2020-12-04 16:21:52,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6740640840890245120?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A6740640840890245120%2C6740642363108016128%29
2020-12-04 16:21:50,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6740640840890245120?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A6740640840890245120%2C6740641545839616000%29
2020-12-04 16:21:49,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6740640840890245120?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A6740640840890245120%2C6740641204993716224%29
2020-12-04 16:21:48,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6740640840890245120?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A6740640840890245120%2C6740641527007064064%29
2020-12-04 16:21:47,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6740640840890245120?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A6740640840890245120%2C6740641368571432960%29
2020-12-04 16:21:46,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6740640840890245120?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A6740640840890245120%2C6740641760432705537%29
2020-12-04 16:21:44,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6740640840890245120?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A6740640840890245120%2C6740642611649937408%29
2020-12-04 16:21:43,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6740640840890245120?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A6740640840890245120%2C6740641533961216000%29
